k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,1,3.1001,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,2,1.58161,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,4,0.794118,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,6,0.555039,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,8,0.438075,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,10,0.360731,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,12,0.299617,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,14,0.26173,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,16,0.229674,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,18,0.338487,chebyshev,0.805556,0.835687,0.805556,0.820345
3,../../data/Faces95/ReducedTrainingDataFaces95.csv,20,0.316605,chebyshev,0.805556,0.835687,0.805556,0.820345
