k,dataset_name,Threads,Time,Distance_measure,Accuracy,Recall,Precision,F1score
7,../../data/Faces95/faces95_train_dataset.csv,1,178.296,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,2,88.5282,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,4,44.683,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,6,31.31,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,8,26.0432,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,10,21.868,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,12,18.3579,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,14,16.3593,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,16,14.3842,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,18,17.5282,chebyshev,0.243056,0.377179,0.243056,0.295615
7,../../data/Faces95/faces95_train_dataset.csv,20,17.0953,chebyshev,0.243056,0.377179,0.243056,0.295615
